restaurant_name,restaurant_url,section,location,name,description,price
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Clifton Park,Margherita,"(fire roasted tomato, fresh mozzarella, basil, garlic oil)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Clifton Park,Pepperoni,"(house marinara, mozzarella, basil)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Clifton Park,Chicken Bruschetta,"(marinated tomato, mozzarella. balsamic glaze)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Clifton Park,White,"(whipped ricotta, Pecorino-Romano, arugula, chili flakes)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Clifton Park,Italian Sausage,"(house marinara, roasted red pepper, provolone, mozzarella, arugula)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Clifton Park,Veg Wrap,"(zucchini, squash, roasted peppers, mixed greens, white bean spread)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Clifton Park,Chicken Caesar Wrap,"(romaine, parmesan, house made caesar dressing)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Clifton Park,Bruschetta Chicken Wrap,"(marinated tomato, basil, greens, EVOO, balsamic glaze)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Clifton Park,Italian Wrap,"(pepperoni, sopressata, crispy pancetta, provolone, tomato, greens, garlic aioli)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Clifton Park,Aged Cheddar Burger,"GF Bun 2 ((8oz, brioche bun, LTO, truffle fries, garlic aioli))",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Clifton Park,"Meatballs, Marinara",,$10.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Clifton Park,Sautéed Spinach,,$7.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Clifton Park,Seasonal Vegetable,,$7.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Clifton Park,Fresh Pasta,"Choice of Marinara, Alfredo, Butter or EVOO",$9.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Clifton Park,Risotto,,$8.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Classic Cocktails,Clifton Park,Red Sangria,"(Shiraz, Bacardi Limon, Western Son raspberry vodka, sour mix, 7Up)",
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Classic Cocktails,Clifton Park,White Sangria,"(Pinot Grigio, Bacardi Raspberry, Western Son peach vodka, sour mix, 7Up)",
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Classic Cocktails,Clifton Park,The Gorman,"(Rittenhouse Rye, Amaretto, Dry Vermouth, Bitters)",
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Beer,Clifton Park,Draft,,
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Beer,Clifton Park,Craft,,
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Beer,Clifton Park,Hard Cider,,
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Beer,Clifton Park,Seltzers,,
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,To Go Deals,Clifton Park,Family Meal to Go,"Includes an entrée (chicken parm, lasagna, chicken marsala, cheese pizza or pepperoni pizza), pasta (ziti, linguine or radiatori), sauce (marinara, alfredo or butter), salad (market or caesar). Feed 4 for $39 or feed 6 for $55Add Dessert: 2 portions for $10, or 4 portions for $17",$39.00 | $55.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,French Toast,"(maple syrup, strawberry jam, powdered sugar, cinnamon, home fries)",$14.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Eggs Benedict,"(poached eggs (2), bacon, roasted tomato, English muffin, hollandaise, home fries)",$17.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Smoked Salmon Benedict,"(poached eggs (2), smoked salmon, English muffin, hollandaise, home fries)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Breakfast Burrito,"(egg, bacon, sausage, bell pepper, onion, cheddar, home fries)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Bacon Egg & Cheddar,"(fried egg, brioche roll, roasted garlic aioli, home fries)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Breakfast Meats & Potato,"(bacon, sausage, 2 eggs cooked to order, home fries)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Broccoli Cheddar Omelet,"(mushroom, home fries)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Shrimp Omelet,"(spinach, tomato, provolone, home fries)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Brunch Menu,Clifton Park,Spinach Omelet,"(roasted tomato, onion, roasted red pepper, mozzarella, home fries)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Clifton Park,Caprese,"(vine-ripe tomato, fresh mozzarella, basil, evoo, balsamic glaze, molten sea salt)",$14.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Clifton Park,Market,"(spring greens, cucumber, cherry tomato, carrot, citrus vinaigrette)",$14.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Clifton Park,Caesar,"(romaine, shredded parmesan, crouton, caesar dressing)",$14.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Clifton Park,Chopped,"(romaine, pancetta, garbanzo, cucumber, tomato, blue cheese, citrus vinaigrette, crostini)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Clifton Park,Seasonal Bowl,"(spinach, baby kale, beet, roasted cauliflower, fire roasted tomato, quinoa, brown rice, cucumber, toasted pistachio, peppadew vinaigrette, choice of chicken or salmon)",$22.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Wraps,Clifton Park,Caprese Wrap,"(fresh mozzarella, sliced tomato, basil, spring greens, balsamic glaze)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Wraps,Clifton Park,Vegetable Wrap,"(zucchini, squash, roasted red peppers, mixed greens, white bean spread)",$14.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Wraps,Clifton Park,Italian Wrap,"(pepperoni, sopressata, crispy pancetta, tomato, provolone, mixed greens, garlic aioli)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Pizza,Clifton Park,Breakfast Pizza,"(egg, bacon, fresh tomato, marinara, mozzarella)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Pizza,Clifton Park,Margarita Pizza,"(fresh mozzarella, sliced tomato, basil leaves)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Pizza,Clifton Park,Sausage & Peppers Pizza,"add egg 2 ((peppers, onion, house marinara, mozzarella))",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Stone-Fired Pizza,Clifton Park,Chicken Bruschetta Pizza,"(tomato, balsamic, mozzarella)",$16.00
