restaurant_name,restaurant_url,menu_type,name,description,price
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomatin Cask Strength,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomatin 14 Year Portwood,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tomatin 18 Year,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Auchentoshan American Oak,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Auchentoshan 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Auchentoshan Three Wood,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Auchentoshan 18,,$26
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Clydside Stobcross,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenkinchie 12 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Glenkinchie Distillers Edition,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Orphan Barrel Foragers Keep,,$182
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg An Oa,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg 10 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg Wee Beastie,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg Corryvreckan,,$19
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg Uigedail,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg Heavy Vapours,,$20
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Ardbeg 19 Traigh Bhan,,$45
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bowmore 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bowmore Darkest 15 Year,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Classic Laddie,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Buichladdich Organic,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Islay Barley,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Bere Barley,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich PC Islay Barley,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Octomore 10 Yr,,$42
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Octomore 12.1,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Octomore 12.2,,$35
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bruichladdich Octomore 12.3,,$40
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bunnahabhain 12 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bunnahabhain Stiuireadair,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bunnahabhain Toiteach,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Caol Ila 12 Year,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Hazelburn 10 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Highland Park 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Highland Park Cask Strength,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Highland Park 18 Year,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Kilkerran Heavily Peated,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lagavulin 8 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lagavulin Distillers Edition,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lagavulin 11 Year Offerman,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Lagavulin 16 Year,,$16
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig Select,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig Cairdeas,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig 10 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig Cask Strength 10 Yr,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig Quarter Cask,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig Lore,,$24
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Laphroaig 25 Year,,$86
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Springbank 15 Year,,$24
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Talisker 10 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Talisker 11 Year,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Talisker Distillers Reserve,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Talisker Storm,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Talisker 18 Year,,$26
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Tobermory 12,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Gauldrons,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Rock Island,,$9
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Angels Envy,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Bardstown Goose Island,,$24
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Basil Hayden,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Blackened Cask Strength,,$18
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Blantons,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Eagle Rare 10 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Elijah Craig,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Heaven's Door Irish Finish,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Heaven's Door Naranja Finish,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Heaven's Door Rum Finish,,$25
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jack Daniels 10 Year,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jack Daniels 12 Year,,$14
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jefferson's Ocean Small Batch,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Jefferson's Reserve,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Knob Creek 9 Year,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Knob Creek 12 Year,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Michters 10 Year,,$29
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Michters American Whiskey,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Michters Sour Mash,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Peerless Bourbon,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Rabbit Hole Cavehill,,$12
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Stagg Jr,,$15
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Thomas Moore Madeira Cask,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Widow Jane 10 Year,,$13
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Woodford Reserve,,$10
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Woodford Reserve Double Oak,,$11
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Woodford Masters Collection,,$40
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Rip Van Winkle 10 Year,,$30
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Rip Van Winkle 12 Year,,$45
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Pappy Van Winkle 15 Year,,$70
9 Maple Ave.,https://www.9mapleave.com/,Drink List,George T Stagg,,$40
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Eagle Rare 17 Year,,$55
9 Maple Ave.,https://www.9mapleave.com/,Drink List,Weller Full Proof,,$45
