restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Vanilla Latte,,Small $4.35 | Large $4.75
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Iced,Menu,Iced,Albany,Iced Chai,,Small $4.00 | Large $4.45
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,House-made Scones,,$3.80
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,House-made Cookies,,$3.30
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,Muffins,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Albany - Baked Goods & Desserts,Menu,Baked Goods & Desserts,Albany,Biscotti,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagels:,Menu,Bagels:,Clifton Park,Bagels,"Plain, Sesame, Poppy, Everything, Cinnamon Raisin, Honey Wheat, Onion, Garlic, Rosemary Olive, Jalapeno, Pumpernickel, Oat Bran, Salt, Cheddar-Parm",Single $1.25 | Half Dozen $6.75 | Baker's Dozen $11.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Cream Cheese,,$3.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Schmear of Cream Cheese,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Butter,,$2.05
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Schmear Hummus,,$4.60
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Peanut Butter,,$2.85
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel with…,Menu,Bagel with…,Clifton Park,Peanut Butter & Jelly,,$4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,BLT,"Bacon, Lettuce, Tomato, and Mayo",$6.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Flying Pig,"Turkey, Lettuce, Tomato, Onion, Bacon, Monterey Jack, and Mayo",$9.20
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,"Winner, Winner","Chicken Salad, Lettuce, Tomato, Provolone, and Sprouts",$8.30
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Healthy Harvest,"Lettuce, Tomato, Cucumber, Green Pepper, Onion, and Sprouts",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Clifton Park - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Clifton Park,Lox of Love,"Smoked Salmon, Cream Cheese, Onion, and Capers",$10.35
